event_hour,event_date,hour_of_day,pv_events,uv,favorite_users,cart_users,purchase_users,purchase_conversion_rate
2017-11-27 07:00:00,2017-11-27,7,212813,54997,4461,9017,3720,0.06764005309380512
2017-11-27 08:00:00,2017-11-27,8,292751,74320,6123,11761,5893,0.07929224973089344
2017-11-27 09:00:00,2017-11-27,9,375326,92815,7829,14779,8893,0.09581425416150406
2017-11-27 10:00:00,2017-11-27,10,450607,108445,9081,17574,11178,0.10307529162248144
2017-11-27 11:00:00,2017-11-27,11,429548,107972,9064,17514,10585,0.09803467565665172
2017-11-27 12:00:00,2017-11-27,12,454202,115540,9346,18284,10737,0.09292885580751255
2017-11-27 13:00:00,2017-11-27,13,493393,116750,9887,19616,11220,0.09610278372591007
2017-11-27 14:00:00,2017-11-27,14,475154,110011,9529,18214,10578,0.09615402096154022
2017-11-27 15:00:00,2017-11-27,15,473965,109874,9252,18438,10418,0.09481770027486029
2017-11-27 16:00:00,2017-11-27,16,449024,107394,8902,17747,9733,0.09062889919362348
2017-11-27 17:00:00,2017-11-27,17,409716,102965,8356,16504,8641,0.08392172097314622
2017-11-27 18:00:00,2017-11-27,18,420509,103268,7969,16205,8171,0.0791242204748809
2017-11-27 19:00:00,2017-11-27,19,539013,118305,9608,19962,9838,0.08315793922488483
2017-11-27 20:00:00,2017-11-27,20,664358,134856,11237,24531,11399,0.08452719938304562
2017-11-27 21:00:00,2017-11-27,21,765468,146276,12845,28847,12391,0.0847097268177965
2017-11-27 22:00:00,2017-11-27,22,751502,138234,13015,29325,11618,0.08404589319559587
2017-11-27 23:00:00,2017-11-27,23,542131,97339,10458,22089,7844,0.08058434954129383
2017-11-28 00:00:00,2017-11-28,0,279436,50164,5448,9943,3766,0.07507375807351886
2017-11-28 01:00:00,2017-11-28,1,126967,22414,2367,4544,1630,0.07272240563933256
2017-11-28 02:00:00,2017-11-28,2,70589,12516,1264,2534,848,0.06775327580696708
2017-11-28 03:00:00,2017-11-28,3,49378,9117,907,1836,604,0.06624986289349567
2017-11-28 04:00:00,2017-11-28,4,45977,8607,824,1666,499,0.05797606599279656
2017-11-28 05:00:00,2017-11-28,5,60918,12972,1144,2421,696,0.05365402405180388
2017-11-28 06:00:00,2017-11-28,6,132454,32954,2715,5691,1797,0.054530557747162714
2017-11-28 07:00:00,2017-11-28,7,214043,56750,4577,9207,3284,0.05786784140969163
2017-11-28 08:00:00,2017-11-28,8,290629,75064,6302,12074,5693,0.07584194820419908
2017-11-28 09:00:00,2017-11-28,9,378645,94235,7847,15424,8620,0.09147344404945085
2017-11-28 10:00:00,2017-11-28,10,438800,107807,9251,17765,10688,0.099140130047214
2017-11-28 11:00:00,2017-11-28,11,424857,107247,9054,17353,10240,0.09548052626180686
2017-11-28 12:00:00,2017-11-28,12,443559,112760,9018,17825,10279,0.0911582121319617
2017-11-28 13:00:00,2017-11-28,13,483018,114434,9745,19090,10578,0.0924375622629638
2017-11-28 14:00:00,2017-11-28,14,468581,108805,9252,18030,10083,0.09267037360415423
2017-11-28 15:00:00,2017-11-28,15,471633,108854,9378,18341,10361,0.0951825380785272
2017-11-28 16:00:00,2017-11-28,16,447868,106127,9064,17693,9581,0.09027862843574208
2017-11-28 17:00:00,2017-11-28,17,400643,100641,8107,16218,8104,0.08052384217167953
2017-11-28 18:00:00,2017-11-28,18,418170,102236,8000,16124,7976,0.07801557181423373
2017-11-28 19:00:00,2017-11-28,19,536760,117200,9542,19946,9701,0.08277303754266212
2017-11-28 20:00:00,2017-11-28,20,647296,132223,11253,23891,11459,0.08666419609296416
2017-11-28 21:00:00,2017-11-28,21,743290,143288,12671,28155,12124,0.08461280777176038
2017-11-28 22:00:00,2017-11-28,22,737555,136915,13191,28711,11556,0.08440273162180915
2017-11-28 23:00:00,2017-11-28,23,531866,95818,10327,21588,7709,0.08045461186833372
2017-11-29 00:00:00,2017-11-29,0,279422,50054,5416,9747,3810,0.0761177927837935
2017-11-29 01:00:00,2017-11-29,1,128654,22668,2523,4540,1578,0.06961355214399154
2017-11-29 02:00:00,2017-11-29,2,71843,12786,1346,2483,866,0.06773033004849054
2017-11-29 03:00:00,2017-11-29,3,52663,9325,940,1885,634,0.06798927613941019
2017-11-29 04:00:00,2017-11-29,4,45485,8466,774,1619,501,0.059177888022678954
2017-11-29 05:00:00,2017-11-29,5,61889,12956,1152,2416,697,0.05379746835443038
2017-11-29 06:00:00,2017-11-29,6,130359,32092,2674,5499,1674,0.052162532718434504
2017-11-29 07:00:00,2017-11-29,7,215708,56028,4681,9465,3250,0.05800671093024916
2017-11-29 08:00:00,2017-11-29,8,307077,76745,6388,12516,5931,0.07728190761613134
2017-11-29 09:00:00,2017-11-29,9,390822,95831,8054,15547,8787,0.09169266729972556
2017-11-29 10:00:00,2017-11-29,10,462170,110691,9529,18255,11139,0.10063148765482288
2017-11-29 11:00:00,2017-11-29,11,442604,109943,9226,17810,10667,0.09702300282873853
2017-11-29 12:00:00,2017-11-29,12,468608,116322,9598,18510,10750,0.09241588005708293
2017-11-29 13:00:00,2017-11-29,13,511129,118254,10205,19805,11148,0.09427165254452281
2017-11-29 14:00:00,2017-11-29,14,495218,112845,9619,18808,10822,0.09590145775178342
2017-11-29 15:00:00,2017-11-29,15,498408,112488,9763,19127,10885,0.0967658772491288
2017-11-29 16:00:00,2017-11-29,16,471129,110507,9344,18558,10113,0.0915145646882098
2017-11-29 17:00:00,2017-11-29,17,422115,103967,8426,16879,8817,0.08480575567247299
2017-11-29 18:00:00,2017-11-29,18,436657,104548,8314,16693,8449,0.08081455408042239
2017-11-29 19:00:00,2017-11-29,19,561071,120925,9729,20845,10459,0.08649162704155468
2017-11-29 20:00:00,2017-11-29,20,673897,135484,11377,25019,11819,0.08723539310914942
2017-11-29 21:00:00,2017-11-29,21,768806,146081,12775,28679,12861,0.08804019687707505
2017-11-29 22:00:00,2017-11-29,22,761129,138579,13577,29661,11956,0.08627569833813203
2017-11-29 23:00:00,2017-11-29,23,553957,98426,10688,22285,8389,0.0852315445105968
2017-11-30 00:00:00,2017-11-30,0,296055,52814,5682,10541,3864,0.07316241905555346
2017-11-30 01:00:00,2017-11-30,1,135419,23706,2551,4812,1670,0.07044630051463764
2017-11-30 02:00:00,2017-11-30,2,74875,13168,1405,2591,863,0.06553766707168894
2017-11-30 03:00:00,2017-11-30,3,53237,9452,973,1980,565,0.059775708844688955
2017-11-30 04:00:00,2017-11-30,4,45437,8637,761,1766,526,0.06090077573231446
2017-11-30 05:00:00,2017-11-30,5,61366,12992,1173,2448,716,0.05511083743842365
2017-11-30 06:00:00,2017-11-30,6,133173,32655,2798,5815,1727,0.05288623487980401
2017-11-30 07:00:00,2017-11-30,7,217289,56736,4599,9480,3310,0.05834038353073886
2017-11-30 08:00:00,2017-11-30,8,309603,77741,6553,12691,5799,0.0745938436603594
2017-11-30 09:00:00,2017-11-30,9,400925,97246,8374,16183,8725,0.08972091397075459
2017-11-30 10:00:00,2017-11-30,10,468503,112794,9627,18961,12065,0.10696490948100076
2017-11-30 11:00:00,2017-11-30,11,447857,110900,9468,18502,10857,0.0978990081154193
2017-11-30 12:00:00,2017-11-30,12,470460,116224,9578,19016,10728,0.09230451541850221
2017-11-30 13:00:00,2017-11-30,13,504530,117183,10159,19984,10957,0.0935033238609696
2017-11-30 14:00:00,2017-11-30,14,492300,112197,9718,19009,10678,0.09517188516627004
2017-11-30 15:00:00,2017-11-30,15,564987,128708,9576,19253,10890,0.08461012524474003
2017-11-30 16:00:00,2017-11-30,16,470394,109866,9340,18653,10122,0.09213041341270274
2017-11-30 17:00:00,2017-11-30,17,425639,104229,8612,17073,8714,0.08360437114430724
2017-11-30 18:00:00,2017-11-30,18,444044,105577,8366,16987,8401,0.07957225532076115
2017-11-30 19:00:00,2017-11-30,19,564318,120990,9871,21137,10316,0.08526324489627242
2017-11-30 20:00:00,2017-11-30,20,677134,135630,11394,25032,11878,0.08757649487576495
2017-11-30 21:00:00,2017-11-30,21,771854,146023,13104,28887,12479,0.08545913999849339
2017-11-30 22:00:00,2017-11-30,22,768822,139495,13422,30060,11800,0.08459084555001971
2017-11-30 23:00:00,2017-11-30,23,560777,99799,10667,22782,8292,0.08308700487980841
2017-12-01 00:00:00,2017-12-01,0,316324,54679,5919,11475,4099,0.07496479452806379
2017-12-01 01:00:00,2017-12-01,1,146469,25344,2824,5326,1707,0.0673532196969697
2017-12-01 02:00:00,2017-12-01,2,82240,14211,1568,3010,895,0.06297938216874252
2017-12-01 03:00:00,2017-12-01,3,57034,9962,1065,2083,608,0.061031921300943585
2017-12-01 04:00:00,2017-12-01,4,50743,9154,901,1970,507,0.055385623771029055
2017-12-01 05:00:00,2017-12-01,5,68322,13530,1253,2877,670,0.04951958610495196
2017-12-01 06:00:00,2017-12-01,6,143237,33759,2793,6505,1709,0.05062353742705649
2017-12-01 07:00:00,2017-12-01,7,235484,59059,4855,10776,3383,0.05728170134949796
2017-12-01 08:00:00,2017-12-01,8,324514,78444,6464,14016,5576,0.07108255570853092
2017-12-01 09:00:00,2017-12-01,9,396942,94956,7967,16766,8117,0.08548169678587977
2017-12-01 10:00:00,2017-12-01,10,467361,109616,9537,19630,11105,0.10130820318201722
2017-12-01 11:00:00,2017-12-01,11,443239,108860,9079,18959,10170,0.09342274480984751
2017-12-01 12:00:00,2017-12-01,12,463485,114320,9249,19372,10309,0.09017669699090274
2017-12-01 13:00:00,2017-12-01,13,510363,117313,10074,21001,10315,0.08792716919693469
2017-12-01 14:00:00,2017-12-01,14,498080,112900,9631,20333,10200,0.09034543844109831
2017-12-01 15:00:00,2017-12-01,15,500562,112359,9679,20281,10142,0.09026424229478724
2017-12-01 16:00:00,2017-12-01,16,479680,110513,9324,19773,9412,0.08516645100576403
2017-12-01 17:00:00,2017-12-01,17,439976,106009,8548,18182,8279,0.07809714269543153
2017-12-01 18:00:00,2017-12-01,18,465232,107085,8477,18525,8135,0.07596768921884484
2017-12-01 19:00:00,2017-12-01,19,591255,122017,10231,22525,9500,0.07785800339296983
2017-12-01 20:00:00,2017-12-01,20,718374,137872,11927,27541,10948,0.07940698619008936
2017-12-01 21:00:00,2017-12-01,21,832129,150456,13550,31849,11849,0.07875392141224012
2017-12-01 22:00:00,2017-12-01,22,831219,145125,13973,32873,11096,0.076458225667528
2017-12-01 23:00:00,2017-12-01,23,656692,111220,11812,27196,8191,0.0736468261104118
2017-12-02 00:00:00,2017-12-02,0,402584,71638,6888,15145,4832,0.06745023590831682
2017-12-02 01:00:00,2017-12-02,1,199289,34345,3694,7226,2297,0.06688018634444606
2017-12-02 02:00:00,2017-12-02,2,107580,18423,1954,3851,1178,0.06394181186560279
2017-12-02 03:00:00,2017-12-02,3,71326,12546,1330,2628,744,0.05930176948828312
2017-12-02 04:00:00,2017-12-02,4,59938,11122,1075,2376,646,0.058083078582988674
2017-12-02 05:00:00,2017-12-02,5,75183,14960,1312,2991,753,0.05033422459893048
2017-12-02 06:00:00,2017-12-02,6,157119,33907,2840,6765,1649,0.04863302562892618
2017-12-02 07:00:00,2017-12-02,7,310162,69867,5915,13626,3845,0.05503313438390084
2017-12-02 08:00:00,2017-12-02,8,412227,95268,8141,17839,6385,0.0670214552630474
2017-12-02 09:00:00,2017-12-02,9,492875,115157,9999,20658,9385,0.08149743393801506
2017-12-02 10:00:00,2017-12-02,10,561517,131659,11077,23301,12789,0.09713730166566661
2017-12-02 11:00:00,2017-12-02,11,561569,135286,11490,23624,12580,0.09298818798693138
2017-12-02 12:00:00,2017-12-02,12,548985,135242,11057,22823,12049,0.08909214593099776
2017-12-02 13:00:00,2017-12-02,13,606764,139873,11676,24505,12363,0.08838732278566985
2017-12-02 14:00:00,2017-12-02,14,615324,138217,11571,24921,12415,0.08982252544911262
2017-12-02 15:00:00,2017-12-02,15,644196,140868,11945,25633,12427,0.08821733821733822
2017-12-02 16:00:00,2017-12-02,16,646902,142540,12142,26037,12124,0.08505682615406202
2017-12-02 17:00:00,2017-12-02,17,602044,139293,11607,24462,10966,0.07872613842763096
2017-12-02 18:00:00,2017-12-02,18,613905,137791,11283,24230,10568,0.07669586547742596
2017-12-02 19:00:00,2017-12-02,19,757567,154938,13085,28593,12220,0.07887025778053157
2017-12-02 20:00:00,2017-12-02,20,918459,175651,15491,35155,14052,0.0799995445514116
2017-12-02 21:00:00,2017-12-02,21,1057667,190800,17690,40940,15041,0.07883123689727463
2017-12-02 22:00:00,2017-12-02,22,1049737,182870,18028,41606,14058,0.0768742822770274
2017-12-02 23:00:00,2017-12-02,23,856722,144700,15735,35482,10765,0.07439530062197651
2017-12-03 00:00:00,2017-12-03,0,493229,83498,9282,18064,5758,0.06895973556252845
2017-12-03 01:00:00,2017-12-03,1,228861,38682,4421,8306,2510,0.06488806163073264
2017-12-03 02:00:00,2017-12-03,2,119036,20380,2256,4245,1223,0.06000981354268891
2017-12-03 03:00:00,2017-12-03,3,78264,13525,1451,2856,830,0.061367837338262475
2017-12-03 04:00:00,2017-12-03,4,62624,11638,1112,2396,679,0.058343357965286134
2017-12-03 05:00:00,2017-12-03,5,76087,14982,1377,3005,771,0.051461754104925914
2017-12-03 06:00:00,2017-12-03,6,151011,32397,2831,6267,1541,0.047566132666604935
2017-12-03 07:00:00,2017-12-03,7,319632,70092,5939,13718,3678,0.052473891456942305
2017-12-03 08:00:00,2017-12-03,8,444153,100006,8655,18778,6559,0.06558606483610983
2017-12-03 09:00:00,2017-12-03,9,513245,118732,10148,21199,9398,0.07915305056766499
2017-12-03 10:00:00,2017-12-03,10,592031,138429,11803,24420,13651,0.09861372978205434
2017-12-03 11:00:00,2017-12-03,11,581279,139205,11670,24062,12660,0.09094500915915377
2017-12-03 12:00:00,2017-12-03,12,555381,135613,10837,22590,11902,0.08776444736124119
2017-12-03 13:00:00,2017-12-03,13,610710,140420,11549,24243,12291,0.08753026634382567
2017-12-03 14:00:00,2017-12-03,14,634783,141320,11792,25053,12724,0.09003679592414379
2017-12-03 15:00:00,2017-12-03,15,650621,142948,12006,25567,12408,0.08680079469457425
2017-12-03 16:00:00,2017-12-03,16,644469,143683,12176,25754,12250,0.08525712853991077
2017-12-03 17:00:00,2017-12-03,17,584486,136653,11169,23404,11055,0.08089833373581261
2017-12-03 18:00:00,2017-12-03,18,587294,134629,10792,23254,10192,0.07570434304644616
2017-12-03 19:00:00,2017-12-03,19,724682,152084,12485,27585,11904,0.07827253359985271
2017-12-03 20:00:00,2017-12-03,20,876660,171791,14574,33880,13559,0.0789273011973852
2017-12-03 21:00:00,2017-12-03,21,1006298,185972,16844,39785,14885,0.08003893059170197
2017-12-03 22:00:00,2017-12-03,22,987604,174541,17363,39870,13332,0.0763831993629004
2017-12-03 23:00:00,2017-12-03,23,714860,123135,13599,30193,9227,0.07493401551143054
